n_voters,n_alternatives,p_no_winner
75,4,0.1796
79,2,0.0
82,2,0.0904
69,9,0.4524
67,10,0.476
72,8,0.57
70,6,0.4696
58,10,0.6508
63,8,0.4232
73,5,0.2588
70,9,0.6008
78,3,0.2176
83,2,0.0
62,9,0.6156
76,4,0.322
84,1,0.0
67,7,0.36
83,1,0.0
79,5,0.2504
68,7,0.52
71,6,0.2904
79,3,0.0928
77,4,0.1724
75,5,0.2352
72,6,0.4716
84,2,0.0936
85,1,0.0
81,4,0.1676
83,3,0.0872
70,10,0.6176
74,8,0.5636
80,3,0.222
78,6,0.4684
80,5,0.4088
86,1,0.0
60,10,0.6272
74,6,0.4692
82,4,0.3364
78,4,0.3252
79,6,0.3156
78,5,0.39
73,6,0.308
87,1,0.0
81,3,0.084
75,6,0.3048
80,6,0.4612
64,9,0.6088
76,8,0.5644
67,8,0.4128
74,9,0.5932
85,3,0.0844
77,5,0.2444
82,3,0.2028
88,1,0.0
73,8,0.4056
84,3,0.2264
71,7,0.3592
80,4,0.3224
61,10,0.4764
77,7,0.3544
77,8,0.4088
88,2,0.08
85,2,0.0
66,9,0.6132
81,6,0.3092
75,9,0.4328
78,8,0.5712
86,2,0.0832
76,6,0.4708
89,2,0.0
69,8,0.4172
69,10,0.4716
90,1,0.0
73,7,0.3616
63,10,0.472
88,3,0.2088
74,7,0.512
89,1,0.0
64,10,0.6272
87,2,0.0
91,1,0.0
67,9,0.452
77,6,0.2984
83,6,0.322
87,4,0.172
89,3,0.0852
83,4,0.168
75,10,0.4848
77,9,0.4412
82,7,0.5072
92,1,0.0
86,3,0.2144
88,4,0.3144
75,7,0.3456
65,10,0.4672
66,10,0.6236
81,5,0.2456
90,3,0.2188
84,4,0.304
78,7,0.518
87,3,0.086
76,7,0.498
82,5,0.3988
93,1,0.0
92,2,0.0916
81,8,0.4136
86,6,0.466
90,2,0.0884
77,10,0.4732
88,5,0.4064
85,4,0.1728
84,7,0.5216
94,1,0.0
74,10,0.6204
71,9,0.452
83,5,0.246
86,4,0.3004
91,2,0.0
68,10,0.6412
80,9,0.6144
89,5,0.238
72,9,0.6032
83,8,0.4084
84,5,0.3948
75,8,0.3932
88,6,0.4748
81,9,0.4548
90,5,0.4024
96,1,0.0
84,8,0.5616
82,6,0.4796
94,3,0.2004
79,7,0.3604
72,10,0.6352
85,5,0.2432
91,3,0.082
93,2,0.0
91,5,0.254
95,1,0.0
86,5,0.386
89,4,0.166
96,2,0.0788
73,9,0.4548
85,8,0.4048
80,7,0.5124
95,3,0.0856
94,2,0.092
90,6,0.4456
92,3,0.2084
92,5,0.3924
86,8,0.5492
84,6,0.4696
94,4,0.3228
93,4,0.1904
87,5,0.2484
98,1,0.0
84,9,0.6072
90,4,0.3344
95,2,0.0
97,1,0.0
85,6,0.3188
81,7,0.352
87,6,0.314
91,6,0.3124
93,3,0.0848
91,4,0.182
98,2,0.0688
87,7,0.3616
71,10,0.4748
83,9,0.4516
88,8,0.5496
79,8,0.4028
94,5,0.3856
85,9,0.4588
76,9,0.6116
100,1,0.0
96,4,0.3124
92,4,0.3144
97,2,0.0
83,7,0.3628
80,8,0.5656
78,9,0.582
73,10,0.482
98,3,0.2068
101,1,0.0
93,6,0.2944
99,1,0.0
89,8,0.4108
91,7,0.3656
94,6,0.4468
99,3,0.0772
88,9,0.5888
96,5,0.3948
101,2,0.0
96,3,0.2008
82,8,0.552
85,10,0.4736
98,4,0.3024
76,10,0.6128
97,3,0.078
99,2,0.0
100,3,0.2028
103,1,0.0
86,7,0.5056
102,2,0.0788
85,7,0.37
95,4,0.1672
89,6,0.3124
104,1,0.0
102,1,0.0
79,9,0.4396
100,2,0.0764
92,8,0.5416
103,2,0.0
90,9,0.582
98,5,0.3836
88,10,0.6272
102,3,0.1992
93,5,0.2648
78,10,0.62
97,6,0.3096
88,7,0.5004
97,4,0.1664
82,9,0.6036
105,2,0.0
94,8,0.5456
96,7,0.488
100,5,0.392
104,3,0.2052
90,10,0.6252
92,6,0.4576
95,5,0.2456
89,7,0.3724
105,1,0.0
101,3,0.0876
107,1,0.0
79,10,0.4644
90,7,0.5284
84,10,0.6048
104,2,0.0792
97,5,0.2496
80,10,0.6172
105,3,0.094
99,4,0.1652
106,1,0.0
96,8,0.5624
104,4,0.292
102,5,0.4056
87,8,0.4064
107,2,0.0
91,10,0.492
100,6,0.452
98,7,0.5144
108,1,0.0
100,4,0.3112
103,3,0.0952
94,7,0.4956
101,6,0.3084
92,7,0.5104
81,10,0.4868
95,6,0.31
97,8,0.406
82,10,0.6216
101,4,0.1792
99,7,0.3668
107,3,0.0792
106,2,0.0776
108,2,0.064
109,1,0.0
95,9,0.4396
102,6,0.4592
104,5,0.382
86,9,0.5904
93,10,0.4812
106,4,0.2924
96,6,0.4496
110,1,0.0
99,5,0.2576
90,8,0.5568
93,7,0.3616
102,4,0.3008
108,3,0.2076
103,4,0.1768
110,2,0.0764
83,10,0.4948
104,6,0.4436
106,3,0.1904
87,9,0.4408
91,8,0.414
95,10,0.4856
112,1,0.0
100,8,0.5608
101,5,0.2544
108,4,0.2904
98,6,0.438
95,7,0.3492
110,3,0.1956
109,2,0.0
101,8,0.4064
86,10,0.634
111,1,0.0
105,4,0.1856
