"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","250hz: Time (s)","250hz: Current (A)","250hz: Potential (V)","400hz: Time (s)","400hz: Current (A)","400hz: Potential (V)","550hz: Time (s)","550hz: Current (A)","550hz: Potential (V)","700hz: Time (s)","700hz: Current (A)","700hz: Potential (V)","850hz: Time (s)","850hz: Current (A)","850hz: Potential (V)","1000hz: Time (s)","1000hz: Current (A)","1000hz: Potential (V)"
0.075,-0.00862121582031,-1.61628723145,0.0075,-0.0192642211914,-1.74999237061,0.0075,-0.0451278686523,0.896644592285,0.0075,0.0300025939941,-1.87149047852,0.0075,0.0342559814453,-1.88064575195,0.0075,0.00141143798828,2.02407836914,0.0075,-0.119323730469,-1.20296478271
0.076,-0.00131607055664,-2.04486846924,0.0076,-0.014705657959,-1.89895629883,0.0076,-0.049991607666,0.419616699219,0.0076,0.0503921508789,-1.42784118652,0.0076,0.0668144226074,-1.31549835205,0.0076,-0.0511932373047,1.6716003418,0.0076,-0.0569725036621,-1.98402404785
0.077,0.00688552856445,-1.67407989502,0.0077,-0.00923156738281,-2.00519561768,0.0077,-0.0524139404297,-0.102996826172,0.0077,0.0658988952637,-0.823211669922,0.0077,0.0887107849121,-0.498008728027,0.0077,-0.0931739807129,0.844955444336,0.0077,0.0254440307617,-2.0112991333
0.078,0.0114440917969,-0.637817382812,0.0078,-0.00375747680664,-2.05383300781,0.0078,-0.0530242919922,-0.613594055176,0.0078,0.0728988647461,-0.121307373047,0.0078,0.0929641723633,0.404357910156,0.0078,-0.110816955566,-0.21858215332,0.0078,0.0935745239258,-1.2882232666
0.079,0.0132751464844,0.580596923828,0.0079,0.00141143798828,-2.05688476562,0.0079,-0.0490760803223,-1.09672546387,0.0079,0.0713729858398,0.583648681641,0.0079,0.0777626037598,1.22184753418,0.0079,-0.100479125977,-1.24263763428,0.0079,0.131282806396,-0.0938415527344
0.08,0.0084114074707,1.65328979492,0.008,0.00627517700195,-2.00519561768,0.008,-0.0417709350586,-1.51309967041,0.008,0.0607299804688,1.21879577637,0.008,0.0476455688477,1.80530548096,0.008,-0.0554656982422,-1.92928314209,0.008,0.116081237793,1.11846923828
0.081,0.00110626220703,2.10304260254,0.0081,0.0108528137207,-1.89895629883,0.0081,-0.030517578125,-1.83506011963,0.0081,0.042781829834,1.70497894287,0.0081,0.00810623168945,2.03018188477,0.0081,0.00476837158203,-2.09331512451,0.0081,0.0537300109863,1.89647674561
0.082,-0.00679016113281,1.75666809082,0.0082,0.0154113769531,-1.75609588623,0.0082,-0.0177383422852,-2.05078125,0.0082,0.019359588623,1.98154449463,0.0082,-0.0280952453613,1.85699462891,0.0082,0.05859375,-1.68018341064,0.0082,-0.0247383117676,1.92985534668
0.083,-0.0119590759277,0.747871398926,0.0083,0.0196647644043,-1.56764984131,0.0083,-0.00436782836914,-2.12993621826,0.0083,-0.00436782836914,2.01797485352,0.0083,-0.0612449645996,1.32217407227,0.0083,0.0993537902832,-0.783729553223,0.0083,-0.0919532775879,1.10645294189
0.084,-0.0140953063965,-0.537490844727,0.0084,0.023307800293,-1.33380889893,0.0084,0.00871658325195,-2.08435058594,0.0084,-0.0265693664551,1.80835723877,0.0084,-0.0849723815918,0.535011291504,0.0084,0.113048553467,0.261688232422,0.0084,-0.127849578857,0.0185012817383
0.085,-0.00862121582031,-1.61018371582,0.0085,0.0275802612305,-1.06945037842,0.0085,0.020580291748,-1.90811157227,0.0085,-0.047550201416,1.37386322021,0.0085,-0.0922584533691,-0.361251831055,0.0085,0.0935745239258,1.26132965088,0.0085,-0.119323730469,-1.20296478271
0.086,-0.000705718994141,-2.04486846924,0.0086,0.0300025939941,-0.756454467773,0.0086,0.0315284729004,-1.61323547363,0.0086,-0.0627517700195,0.787353515625,0.0086,-0.0843620300293,-1.20601654053,0.0086,0.0461196899414,1.89647674561,0.0086,-0.0566864013672,-1.98402404785
0.087,0.0071907043457,-1.67407989502,0.0087,0.0321388244629,-0.464630126953,0.0087,0.041561126709,-1.22737884521,0.0087,-0.0703620910645,0.0883102416992,0.0087,-0.0548553466797,-1.82590484619,0.0087,-0.0113677978516,1.99069976807,0.0087,0.0251388549805,-2.01435089111
0.088,0.0120544433594,-0.634765625,0.0088,0.0333595275879,-0.139427185059,0.0088,0.0491714477539,-0.750350952148,0.0088,-0.0718879699707,-0.616645812988,0.0088,-0.0153160095215,-2.11772918701,0.0088,-0.0621604919434,1.50756835938,0.0088,0.093879699707,-1.2882232666
0.089,0.0132751464844,0.574684143066,0.0089,0.0336647033691,0.188636779785,0.0089,0.0534248352051,-0.24585723877,0.0089,-0.064582824707,-1.2638092041,0.0089,0.0242233276367,-1.99317932129,0.0089,-0.100173950195,0.605010986328,0.0089,0.131587982178,-0.0938415527344
0.09,0.0084114074707,1.65634155273,0.009,0.0330543518066,0.51383972168,0.009,0.0540351867676,0.267601013184,0.009,-0.0466346740723,-1.76525115967,0.009,0.05859375,-1.50699615479,0.009,-0.110816955566,-0.494956970215,0.009,0.115776062012,1.11846923828
