"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","250hz: Time (s)","250hz: Current (A)","250hz: Potential (V)","400hz: Time (s)","400hz: Current (A)","400hz: Potential (V)","550hz: Time (s)","550hz: Current (A)","550hz: Potential (V)","700hz: Time (s)","700hz: Current (A)","700hz: Potential (V)","850hz: Time (s)","850hz: Current (A)","850hz: Potential (V)","1000hz: Time (s)","1000hz: Current (A)","1000hz: Potential (V)"
0.1146,-0.0726509094238,-0.693321228027,0.1146,-0.114917755127,-1.64451599121,0.1146,-0.102157592773,-1.79042816162,0.1146,0.0523567199707,-0.483703613281,0.1146,0.0660514831543,0.26683807373,0.1146,0.0569152832031,0.00858306884766,0.1146,-0.0425338745117,-1.93004608154
0.1147,-0.0653457641602,-0.580978393555,0.1147,-0.113410949707,-1.46217346191,0.1147,-0.105495452881,-1.51386260986,0.1147,0.0259017944336,-1.11885070801,0.1147,0.0484085083008,-0.602149963379,0.1147,0.0347137451172,-1.02767944336,0.1147,-0.0601768493652,-1.10969543457
0.1148,-0.0592613220215,-0.498962402344,0.1148,-0.109748840332,-1.26762390137,0.1148,-0.103073120117,-1.14612579346,0.1148,-0.00329971313477,-1.62315368652,0.1148,0.0198173522949,-1.37405395508,0.1148,0.00308990478516,-1.79042816162,0.1148,-0.0562286376953,0.0875473022461
0.1149,-0.0522613525391,-0.407791137695,0.1149,-0.102462768555,-1.03073120117,0.1149,-0.0942420959473,-0.705528259277,0.1149,-0.0325012207031,-1.94530487061,0.1149,-0.0124359130859,-1.88751220703,0.1149,-0.0309753417969,-2.06985473633,0.1149,-0.0315856933594,1.24225616455
0.115,-0.045280456543,-0.301361083984,0.115,-0.0936317443848,-0.760269165039,0.115,-0.0802612304688,-0.228500366211,0.115,-0.0592613220215,-2.03952789307,0.115,-0.0437545776367,-2.06069946289,0.115,-0.0577545166016,-1.78127288818,0.115,0.00278472900391,1.91383361816
0.1151,-0.038890838623,-0.191879272461,0.1151,-0.0817680358887,-0.483703613281,0.1151,-0.0604820251465,0.251770019531,0.1151,-0.079345703125,-1.89666748047,0.1151,-0.0668716430664,-1.83887481689,0.1151,-0.0687026977539,-1.00936889648,0.1151,0.0350189208984,1.83792114258
0.1152,-0.0315856933594,-0.0795364379883,0.1152,-0.0671768188477,-0.185966491699,0.1152,-0.0373649597168,0.722694396973,0.1152,-0.0899887084961,-1.54113769531,0.1152,-0.0790405273438,-1.28593444824,0.1152,-0.0613975524902,0.0572204589844,0.1152,0.0529670715332,1.03569030762
0.1153,-0.024585723877,0.0328063964844,0.1153,-0.0519752502441,0.108909606934,0.1153,-0.0130271911621,1.14212036133,0.1153,-0.0909042358398,-1.00936889648,0.1153,-0.0753784179688,-0.495910644531,0.1153,-0.0385856628418,1.03874206543,0.1153,0.0493240356445,-0.170707702637
0.1154,-0.0169944763184,0.148391723633,0.1154,-0.0346374511719,0.415802001953,0.1154,0.0125122070312,1.49154663086,0.1154,-0.0814628601074,-0.359153747559,0.1154,-0.0589561462402,0.376319885254,0.1154,-0.00574111938477,1.74980163574,0.1154,0.0252914428711,-1.36795043945
0.1155,-0.00968933105469,0.260734558105,0.1155,-0.0176048278809,0.692367553711,0.1155,0.0359344482422,1.73759460449,0.1155,-0.0620079040527,0.312423706055,0.1155,-0.0315856933594,1.17244720459,0.1155,0.0277137756348,1.97162628174,0.1155,-0.00938415527344,-2.0092010498
0.1156,-0.00207901000977,0.376319885254,0.1156,0.000953674316406,0.968742370605,0.1156,0.0584411621094,1.86519622803,0.1156,-0.0367546081543,0.950622558594,0.1156,0.000343322753906,1.73149108887,0.1156,0.052661895752,1.62830352783,0.1156,-0.0425338745117,-1.92413330078
0.1157,0.00551223754883,0.497817993164,0.1157,0.0189018249512,1.21803283691,0.1157,0.0754737854004,1.88655853271,0.1157,-0.00724792480469,1.47018432617,0.1157,0.0310707092285,1.95636749268,0.1157,0.062084197998,0.813865661621,0.1157,-0.059871673584,-1.12476348877
0.1158,0.013427734375,0.601196289062,0.1158,0.0359344482422,1.43375396729,0.1158,0.0894546508789,1.77707672119,0.1158,0.0219345092773,1.81045532227,0.1158,0.0569152832031,1.79233551025,0.1158,0.0529670715332,-0.234603881836,0.1158,-0.0562286376953,0.0844955444336
0.1159,0.0210380554199,0.716590881348,0.1159,0.0535774230957,1.61914825439,0.1159,0.0961494445801,1.5552520752,0.1159,0.0490188598633,1.92909240723,0.1159,0.069694519043,1.28173828125,0.1159,0.0283241271973,-1.24340057373,0.1159,-0.0318908691406,1.24835968018
0.116,0.0286293029785,0.823020935059,0.116,0.0687789916992,1.76200866699,0.116,0.0961494445801,1.23023986816,0.116,0.0690841674805,1.81350708008,0.116,0.0690841674805,0.519180297852,0.116,-0.00543594360352,-1.89666748047,0.116,0.00308990478516,1.91383361816
0.1161,0.0365447998047,0.923156738281,0.1161,0.0830841064453,1.86214447021,0.1161,0.0912857055664,0.826072692871,0.1161,0.0812530517578,1.4762878418,0.1161,0.0547981262207,-0.353050231934,0.1161,-0.0379753112793,-2.0486831665,0.1161,0.0350189208984,1.83792114258
0.1162,0.0438499450684,1.02653503418,0.1162,0.0949478149414,1.91383361816,0.1162,0.0791168212891,0.358009338379,0.1162,0.0830841064453,0.959777832031,0.1162,0.0283241271973,-1.17340087891,0.1162,-0.0617027282715,-1.63536071777,0.1162,0.0535774230957,1.04179382324
0.1163,0.051441192627,1.11770629883,0.1163,0.104064941406,1.92604064941,0.1163,0.062084197998,-0.1220703125,0.1163,0.0733375549316,0.31852722168,0.1163,-0.00299453735352,-1.77211761475,0.1163,-0.0687026977539,-0.775337219238,0.1163,0.0493240356445,-0.170707702637
0.1164,0.0584411621094,1.2149810791,0.1164,0.111064910889,1.88655853271,0.1164,0.0417137145996,-0.605201721191,0.1164,0.0563049316406,-0.353050231934,0.1164,-0.035228729248,-2.05478668213,0.1164,-0.0577545166016,0.275993347168,0.1164,0.0249862670898,-1.340675354
0.1165,0.0651359558105,1.30004882812,0.1165,0.115623474121,1.80759429932,0.1165,0.0170707702637,-1.0913848877,0.1165,0.0310707092285,-1.00936889648,0.1165,-0.0607872009277,-1.93309783936,0.1165,-0.0306701660156,1.24835968018,0.1165,-0.00938415527344,-2.01511383057
0.1166,0.0718307495117,1.37901306152,0.1166,0.117149353027,1.67980194092,0.1166,-0.00785827636719,-1.44081115723,0.1166,0.00217437744141,-1.5380859375,0.1166,-0.0762939453125,-1.47132873535,0.1166,0.00247955322266,1.85604095459,0.1166,-0.0425338745117,-1.92699432373
